lan_code,cluster,count,total_count,fraction
fra,20,12110,17300,0.7
fra,21,1000,10898,0.09175995595522114
fra,22,114,10898,0.01046063497889521
fra,24,1,2002,0.0004995004995004995
fra,30,968,9617,0.10065508994488925
fra,31,2,1785,0.0011204481792717086
fra,32,2002,4745,0.42191780821917807
fra,34,883,10376,0.08510023130300694
fra,36,9927,9929,0.999798569845906
fra,39,2,13920,0.00014367816091954023
fra,44,1629,48190,0.03380369371238846
fra,46,1041,10402,0.10007690828686791
fra,71,101,6319,0.01598354169963602
fra,72,490,491,0.9979633401221996
fra,75,9022,14620,0.6170998632010944
fra,77,155,11267,0.013756989438182302
fra,81,1,14726,6.790710308298248e-05
fra,84,239,14179,0.016855913675153395
fra,86,298,682,0.436950146627566
fra,89,4491,29819,0.15060867232301553
fra,91,7922,12006,0.6598367482925204
fra,96,1,1164,0.000859106529209622
fra,99,14774,14778,0.9997293273785357
fra,100,34,3341,0.010176593834181383
fra,104,19,4428,0.004290876242095754
fra,118,1,3645,0.00027434842249657066
fra,123,17,6616,0.002569528415961306
fra,128,3141,14329,0.21920580640658804
fra,129,3,18235,0.00016451878256100905
fra,135,3624,4664,0.7770154373927959
fra,145,973,6139,0.15849486887115166
fra,153,2904,2904,1.0
fra,155,41,5307,0.007725645374034295
fra,160,1,8981,0.00011134617525887985
fra,163,376,4435,0.08478015783540023
fra,165,954,13841,0.06892565566071816
fra,167,2556,9647,0.26495283507826267
fra,173,168,3532,0.04756511891279728
fra,174,1920,15784,0.12164216928535225
fra,175,4,8843,0.00045233518036865317
fra,176,8390,11420,0.7346760070052539
fra,182,324,8003,0.040484818193177556
fra,188,12785,644468,0.019838067987859753
fra,198,891,21515,0.04141296769695561
heb,0,2307,2307,1.0
heb,19,7170,7170,1.0
heb,36,2,9929,0.00020143015409406788
heb,41,9708,9708,1.0
heb,60,4402,4402,1.0
heb,62,10037,10037,1.0
heb,82,1315,1315,1.0
heb,92,8405,8405,1.0
heb,102,7630,7630,1.0
heb,112,156,156,1.0
heb,137,2,4641,0.00043094160741219563
heb,138,4594,4594,1.0
heb,141,1,8615,0.00011607661056297156
heb,162,4120,4120,1.0
heb,184,1398,1398,1.0
heb,188,46260,644468,0.071780134932999
heb,197,9075,9075,1.0
hun,13,424,25534,0.016605310566303752
hun,17,26,6088,0.0042706964520367935
